Sample	MAGs
AR1_L2	76
AR2_L2	79
AR3_L2	87
AR4_L2	62
ARZ1_L2	29
ARZ2_L2	25
ARZ3_L2	19
ARZ4_L2	23
AS1_L2	21
AS2_L2	24
AS3_L2	22
AS4_L2	27
ASB1_L2	20
ASB2_L2	28
ASB3_L2	6
ASB4_L2	6
HR1_L2	22
HR2_L2	22
HR3_L2	14
HR4_L2	15
HRZ1_L2	3
HRZ2_L2	6
HRZ3_L2	4
HRZ4_L2	7
HS1_L2	4
HS2_L2	5
HS3_L2	4
HS4_L2	4
HSB1_L2	45
HSB2_L2	11
HSB3_L2	28
HSB4_L2	11
PAR1_L2	6
PAR2_L2	22
PAR31_L2	13
PAR32_L2	6
PAR4_L2	9
PARZ1_L2	11
PARZ2_L2	8
PARZ3_L2	17
PARZ4_L2	18
PAS1_L2	13
PAS2_L2	13
PAS3_L2	13
PAS4_L2	17
PASB1_L2	26
PASB2_L2	44
PASB3_L2	14
PSR1_L2	11
PSR2_L2	23
PSR3_L2	13
PSR4_L2	10
PSRZ1_L2	7
PSRZ2_L2	8
PSRZ3_L2	14
PSRZ4_L2	15
PSS1_L2	41
PSS2_L2	32
PSS3_L2	12
PSS4_L2	29
PSSB1_L2	72
PSSB2_L2	45
PSSB3_L2	58
PSSB4_L2	63
